match_id,date,venue,city,teams,team1,team2,toss_winner,toss_decision,winner,result,season,match_type,gender,total_balls
1136581,2018-04-22,Sawai Mansingh Stadium,Jaipur,"Mumbai Indians, Rajasthan Royals",Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,,2018,T20,male,40
1136582,2018-04-23,Arun Jaitley Stadium,Delhi,"Kings XI Punjab, Delhi Daredevils",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,,2018,T20,male,40
1136583,2018-04-24,Wankhede Stadium,Mumbai,"Sunrisers Hyderabad, Mumbai Indians",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,,2018,T20,male,38
1136584,2018-04-25,M.Chinnaswamy Stadium,Bengaluru,"Royal Challengers Bangalore, Chennai Super Kings",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,,2018,T20,male,40
1136585,2018-04-26,Rajiv Gandhi International Stadium,Hyderabad,"Sunrisers Hyderabad, Kings XI Punjab",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,,2018,T20,male,40
1136586,2018-04-27,Arun Jaitley Stadium,Delhi,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Daredevils,,2018,T20,male,40
1136587,2018-04-28,Maharashtra Cricket Association Stadium,Pune,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,2018,T20,male,40
1136588,2018-04-29,Sawai Mansingh Stadium,Jaipur,"Sunrisers Hyderabad, Rajasthan Royals",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,,2018,T20,male,40
1136589,2018-04-29,M.Chinnaswamy Stadium,Bengaluru,"Royal Challengers Bangalore, Kolkata Knight Riders",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,2018,T20,male,40
1136590,2018-04-30,Maharashtra Cricket Association Stadium,Pune,"Chennai Super Kings, Delhi Daredevils",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,,2018,T20,male,40
